"Transaction Hash","Chain","Amount","From Address","To Address"
"0x2ddaf34e940db05bd4594a8b6a042677899f30ec11094e9703f71ef7df3cfb1f","USDC",1100000,"0xcd6cf78b351d82c8355f14c6af62f3751cdaaffe","0x68781e7deac74bccdc16b38f9bf02e68dc43e714"
"0xb519bce2b710995cc9d7387b82455f8c6784654b1be81a655628e90d77322cad","usdt",5042632.282207,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xcd6cf78b351d82c8355f14c6af62f3751cdaaffe"
"0xbd44b96aa229bfb67a6b4dafda416f25908545fb2b9ad4f40275839f7dd31bd8","ETH",4892520.335967,"0xcd6cf78b351d82c8355f14c6af62f3751cdaaffe","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xf4bb9dee12e33e7db6d39039706b7f48ab0c30bac43f256e8308a2ea5aa56ffa","ETH",5,"0xcd6cf78b351d82c8355f14c6af62f3751cdaaffe","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xc08d571cc4ffc57d66adf27e297fe4b809edd067ca40d9d11a00d9f4f397e72e","ETH",4.99238470269582,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xcd6cf78b351d82c8355f14c6af62f3751cdaaffe"
"0x1abce0803d9ad9c476eb7cfd65a24c4f45a984852b913b386af292c1f1be59a4","usdt",989581.122288,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf"
"0x1abce0803d9ad9c476eb7cfd65a24c4f45a984852b913b386af292c1f1be59a4","USDC",1058924.040271,"0x93419d28248d289360942763e7170ccb724564d1","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x8a2e928ef4f747c8fad7d53548bb88d6f3698e3bc0eeaec6d713d35388c36a3b","USDC",550657.341235,"0x93419d28248d289360942763e7170ccb724564d1","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x8a2e928ef4f747c8fad7d53548bb88d6f3698e3bc0eeaec6d713d35388c36a3b","usdt",515415.271396,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf"
"0x5661b2750d8cdf9503553c53a8a74d54b52046656648809709550001ac86aad1","USDC",148575,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xb776f45307322c4eca5462a5af2faede197a769884a86f66a5485004e812580b","usdt",1383.956277,"0xa88800cd213da5ae406ce248380802bd53b47647","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xb776f45307322c4eca5462a5af2faede197a769884a86f66a5485004e812580b","USDC",1438.793736,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xdecf04ca46d287b3cb99692ad512e568ba276140"
"0x4ed427c2dc801996c7ec6fe91d7aacee7fe42b4ad96add41696ac984e4aeaa61","USDC",101217.350832,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xdecf04ca46d287b3cb99692ad512e568ba276140"
"0x4ed427c2dc801996c7ec6fe91d7aacee7fe42b4ad96add41696ac984e4aeaa61","usdt",97624.134878,"0xdecf04ca46d287b3cb99692ad512e568ba276140","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x1d367a308ee94b27dbe6afed37710c491deec6c072bec636bac6824b387f7930","USDC",2225.942822,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xdecf04ca46d287b3cb99692ad512e568ba276140"
"0x1d367a308ee94b27dbe6afed37710c491deec6c072bec636bac6824b387f7930","usdt",2146.921852,"0xdecf04ca46d287b3cb99692ad512e568ba276140","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x8091e5b3d5ab6d625429a526048c5e0e0bc2d3926cda7a30c626428a3db5fcbb","usdt",333333,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x8091e5b3d5ab6d625429a526048c5e0e0bc2d3926cda7a30c626428a3db5fcbb","USDC",345601.866251,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0xfd08b2bd5625cfc673cb480d4c2955b72cd68c076bd843aed327d89d22262323","usdt",6494.523706,"0x0b3f6d4a5d6835137ccb2c1248f5a7d882c0dbda","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xbf8dfdd3f658d93e6703ee615b4fd93dcaf6e5cef32edabee9c34d3bcb06049d","usdt",78026.893514,"0x5df6434986b285143b060c0e07e1a8d79f5d1b8b","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xbf8dfdd3f658d93e6703ee615b4fd93dcaf6e5cef32edabee9c34d3bcb06049d","USDC",80898.800947,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x5df6434986b285143b060c0e07e1a8d79f5d1b8b"
"0xfd08b2bd5625cfc673cb480d4c2955b72cd68c076bd843aed327d89d22262323","USDC",6733.565273,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x0b3f6d4a5d6835137ccb2c1248f5a7d882c0dbda"
"0xc8bf7c41650c0dc28ebbb6be789d049fa122e01df285a9725cf698fa4e42dc5d","USDC",164286.451177,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0xcc5d146ee24f625ab94f1455f0355094052bc62bd97fa8ff888c819d0f75545c","usdt",10176.10258,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xc8bf7c41650c0dc28ebbb6be789d049fa122e01df285a9725cf698fa4e42dc5d","usdt",158454.282161,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x89ac67b19f7b1999f60e4c1ff5c9ede919942ebfd1c304f0c53ab5ddd9ca2d08","USDC",397882.802798,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x5df6434986b285143b060c0e07e1a8d79f5d1b8b"
"0xcc5d146ee24f625ab94f1455f0355094052bc62bd97fa8ff888c819d0f75545c","USDC",10550.650679,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0x89ac67b19f7b1999f60e4c1ff5c9ede919942ebfd1c304f0c53ab5ddd9ca2d08","usdt",383757.963299,"0x5df6434986b285143b060c0e07e1a8d79f5d1b8b","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x9f3a22668220f8000b8233f38c18b332547430254171be50eabc7acef54986ef","USDC",124416.796267,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0x9f3a22668220f8000b8233f38c18b332547430254171be50eabc7acef54986ef","usdt",120000,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x567b9cc0223325fa6add7eee69f44f05bb46e2211819fbaff6b3b0bf2cfcac3b","USDC",68004.09012,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0x567b9cc0223325fa6add7eee69f44f05bb46e2211819fbaff6b3b0bf2cfcac3b","usdt",65589.944921,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x505bd99e6fd6e03794ac6c1582eebfa7b2a449d67adfc1d8d28a3aacd6f5bd42","usdt",289435.166807,"0x48802e0ce5045beb5f00e19dab7174384c7e5b35","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x505bd99e6fd6e03794ac6c1582eebfa7b2a449d67adfc1d8d28a3aacd6f5bd42","USDC",300088.30151,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x48802e0ce5045beb5f00e19dab7174384c7e5b35"
"0xe410d8e48c1e86f96cef0577d6715068888dc6ada8caf8d71117ab57fe32425b","USDC",82940.176257,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0xe410d8e48c1e86f96cef0577d6715068888dc6ada8caf8d71117ab57fe32425b","usdt",79995.8,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xa23b6573c18dd88113d87c386299177caf2723ab5bc869ec60c6eb84b063741b","usdt",58335.592809,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xa23b6573c18dd88113d87c386299177caf2723ab5bc869ec60c6eb84b063741b","USDC",60482.729713,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0x073ebfa081720f05749c65d94a141c3bf407dfedc8d79c1aece0a71c4091f8a9","usdt",114782.5505,"0x5df6434986b285143b060c0e07e1a8d79f5d1b8b","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x073ebfa081720f05749c65d94a141c3bf407dfedc8d79c1aece0a71c4091f8a9","USDC",119007.310005,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x5df6434986b285143b060c0e07e1a8d79f5d1b8b"
"0x9bea861ab035af0f276548df567d89b9224e8cafed4f48db1f41dd768c72c648","usdt",48256.907031,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x9bea861ab035af0f276548df567d89b9224e8cafed4f48db1f41dd768c72c648","USDC",50033.081421,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0x141d1ddc589ae8db75d41f95985dc0fab7b9483046e65fd2463fe54f7847c63f","USDC",88502.851147,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x86ecd42504fead01409901f41cda45a0f8c54e71"
"0x141d1ddc589ae8db75d41f95985dc0fab7b9483046e65fd2463fe54f7847c63f","usdt",85360.999932,"0x86ecd42504fead01409901f41cda45a0f8c54e71","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xa511a0c026d0eb357033a9003776bbf6570a2f29d0c6e7dcb572731356c9d757","USDC",147349.820004,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x5777d92f208679db4b9778590fa3cab3ac9e2168"
"0x2e75c83881375a524ff6bde154d58ee6fbb1f1e6b8ec2d47b6f6225a3c9ae3e8","usdt",248000,"0x0b3f6d4a5d6835137ccb2c1248f5a7d882c0dbda","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x2e75c83881375a524ff6bde154d58ee6fbb1f1e6b8ec2d47b6f6225a3c9ae3e8","USDC",256595.964821,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x0b3f6d4a5d6835137ccb2c1248f5a7d882c0dbda"
"0x3a3874f552424484357fb6632cef0fcebc15e141077db8e9e417d6d4151122f9","usdt",999988.140038,"0x9008d19f58aabd9ed0d60971565aa8510560ab41","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x3a3874f552424484357fb6632cef0fcebc15e141077db8e9e417d6d4151122f9","USDC",1034648.877431,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x9008d19f58aabd9ed0d60971565aa8510560ab41"
"0xd96fc3cf051f9f18397aac91cc49636cfd1db94ab13043d9d59aff5cf408c4ab","USDC",6207.96689,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xdecf04ca46d287b3cb99692ad512e568ba276140"
"0x501e5cb825e887d311ecc5bf0da503bc335cd89095d3c70a56a55fa5e59586c7","usdt",600000,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xd96fc3cf051f9f18397aac91cc49636cfd1db94ab13043d9d59aff5cf408c4ab","usdt",6000,"0xdecf04ca46d287b3cb99692ad512e568ba276140","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xecf19fa04e7ab5f9c9882ecab2ddbbe2dd9b020da14b61219d2bdca1513e6861","USDC",58707.140585,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xd1742b3c4fbb096990c8950fa635aec75b30781a"
"0x501e5cb825e887d311ecc5bf0da503bc335cd89095d3c70a56a55fa5e59586c7","USDC",620796.689084,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0xecf19fa04e7ab5f9c9882ecab2ddbbe2dd9b020da14b61219d2bdca1513e6861","usdt",56679.908663,"0xa88800cd213da5ae406ce248380802bd53b47647","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x4d7380f9a9c26bdab3aa9a222a62d0ad683e0795e6c6f21057b5769053e8246a","USDC",993299.306338,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0x4d7380f9a9c26bdab3aa9a222a62d0ad683e0795e6c6f21057b5769053e8246a","usdt",959974.114611,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xce51b0881247593264476873c2363932a5992ed98cf267ec32533dd803189e95","usdt",96716.477234,"0xa88800cd213da5ae406ce248380802bd53b47647","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xef6d4f4003a9e28dd720c821e961e63497044db4df0268054a9558551002757c","usdt",8225.182105,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x2b98ffef9e8477830d96e70efcfe0460349fe923"
"0xce51b0881247593264476873c2363932a5992ed98cf267ec32533dd803189e95","USDC",100000,"0x0aef224b53a5391fc965311f98446f74451bf75e","0xdecf04ca46d287b3cb99692ad512e568ba276140"
"0xef6d4f4003a9e28dd720c821e961e63497044db4df0268054a9558551002757c","USDC",8801.545291,"0x2b98ffef9e8477830d96e70efcfe0460349fe923","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xf319b8c80aecc07c1a42b6b20bed9cf13c31f25c7eefb07cfaa3a969d504a201","usdt",5118.00932,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0xf319b8c80aecc07c1a42b6b20bed9cf13c31f25c7eefb07cfaa3a969d504a201","USDC",5462.123074,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0xf7a6a1227736b712cd24ba68685d4ab6066079ce8a81e08f072918619180232b","USDC",100068.075482,"0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0","0x0aef224b53a5391fc965311f98446f74451bf75e"
"0x5661b2750d8cdf9503553c53a8a74d54b52046656648809709550001ac86aad1","usdt",139066.2,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
"0xf7a6a1227736b712cd24ba68685d4ab6066079ce8a81e08f072918619180232b","usdt",93663.718651,"0x0aef224b53a5391fc965311f98446f74451bf75e","0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0"
